location_id,population_served,sample_date,baseline_rate
California,100000,2018-10-06,0.0
California,100000,2018-10-06,0.2
California,100000,2018-10-06,0.2
California,100000,2018-10-13,0.1
California,100000,2018-10-13,0.2
California,100000,2018-10-13,0.3
California,100000,2018-10-20,0.1
California,100000,2018-10-20,0.2
California,100000,2018-10-20,0.3
California,100000,2018-10-27,0.2
California,100000,2018-10-27,0.2
California,100000,2018-10-27,0.4
California,100000,2018-11-03,0.2
California,100000,2018-11-03,0.1
California,100000,2018-11-03,0.3
California,100000,2018-11-10,0.2
California,100000,2018-11-10,0.2
California,100000,2018-11-10,0.4
California,100000,2018-11-17,0.2
California,100000,2018-11-17,0.2
California,100000,2018-11-17,0.4
California,100000,2018-11-24,0.1
California,100000,2018-11-24,0.4
California,100000,2018-11-24,0.5
California,100000,2018-12-01,0.4
California,100000,2018-12-01,0.7
California,100000,2018-12-01,1.1
California,100000,2018-12-08,0.7
California,100000,2018-12-08,0.4
California,100000,2018-12-08,1.1
California,100000,2018-12-15,0.6
California,100000,2018-12-15,0.7
California,100000,2018-12-15,1.2999999999999998
California,100000,2018-12-22,0.9
California,100000,2018-12-22,1.3
California,100000,2018-12-22,2.2
California,100000,2018-12-29,1.3
California,100000,2018-12-29,1.7
California,100000,2018-12-29,3.0
California,100000,2019-01-05,1.4
California,100000,2019-01-05,3.6
California,100000,2019-01-05,5.0
California,100000,2019-01-12,1.4
California,100000,2019-01-12,3.6
California,100000,2019-01-12,5.0
California,100000,2019-01-19,1.2
California,100000,2019-01-19,2.6
California,100000,2019-01-19,3.8
California,100000,2019-01-26,1.7
California,100000,2019-01-26,2.2
California,100000,2019-01-26,3.9
California,100000,2019-02-02,1.8
California,100000,2019-02-02,2.5
California,100000,2019-02-02,4.3
California,100000,2019-02-09,1.8
California,100000,2019-02-09,2.2
California,100000,2019-02-09,4.0
California,100000,2019-02-16,1.3
California,100000,2019-02-16,3.1
California,100000,2019-02-16,4.4
California,100000,2019-02-23,1.9
California,100000,2019-02-23,4.0
California,100000,2019-02-23,5.9
California,100000,2019-03-02,1.7
California,100000,2019-03-02,5.5
California,100000,2019-03-02,7.2
California,100000,2019-03-09,1.4
California,100000,2019-03-09,4.6
California,100000,2019-03-09,6.0
California,100000,2019-03-16,1.0
California,100000,2019-03-16,3.6
California,100000,2019-03-16,4.6
California,100000,2019-03-23,1.0
California,100000,2019-03-23,4.1
California,100000,2019-03-23,5.1
California,100000,2019-03-30,0.8
California,100000,2019-03-30,2.8
California,100000,2019-03-30,3.5999999999999996
California,100000,2019-04-06,0.7
California,100000,2019-04-06,1.8
California,100000,2019-04-06,2.5
California,100000,2019-04-13,0.4
California,100000,2019-04-13,1.0
California,100000,2019-04-13,1.4
California,100000,2019-04-20,0.4
California,100000,2019-04-20,0.7
California,100000,2019-04-20,1.1
California,100000,2019-04-27,0.1
California,100000,2019-04-27,0.6
California,100000,2019-04-27,0.7
California,100000,2019-05-04,0.1
California,100000,2019-05-04,0.1
California,100000,2019-05-04,0.2
California,100000,2019-10-05,0.0
California,100000,2019-10-05,0.2
California,100000,2019-10-05,0.2
California,100000,2019-10-12,0.0
California,100000,2019-10-12,0.1
California,100000,2019-10-12,0.1
California,100000,2019-10-19,0.1
California,100000,2019-10-19,0.2
California,100000,2019-10-19,0.1
California,100000,2019-10-26,0.2
California,100000,2019-10-26,0.6000000000000001
California,100000,2019-10-26,0.4
California,100000,2019-11-02,0.1
California,100000,2019-11-02,0.7999999999999999
California,100000,2019-11-02,0.7
California,100000,2019-11-09,0.3
California,100000,2019-11-09,1.2
California,100000,2019-11-09,0.9
California,100000,2019-11-16,0.3
California,100000,2019-11-16,1.3
California,100000,2019-11-16,1.0
California,100000,2019-11-23,0.4
California,100000,2019-11-23,1.2000000000000002
California,100000,2019-11-23,0.8
California,100000,2019-11-30,0.4
California,100000,2019-11-30,1.3
California,100000,2019-11-30,0.9
California,100000,2019-12-07,0.8
California,100000,2019-12-07,2.3
California,100000,2019-12-07,1.5
California,100000,2019-12-14,0.8
California,100000,2019-12-14,2.4000000000000004
California,100000,2019-12-14,1.6
California,100000,2019-12-21,0.9
California,100000,2019-12-21,2.9
California,100000,2019-12-21,2.0
California,100000,2019-12-28,1.1
California,100000,2019-12-28,4.1
California,100000,2019-12-28,3.0
California,100000,2020-01-04,1.8
California,100000,2020-01-04,6.5
California,100000,2020-01-04,4.7
California,100000,2020-01-11,1.7
California,100000,2020-01-11,6.3
California,100000,2020-01-11,4.6
California,100000,2020-01-18,1.5
California,100000,2020-01-18,5.8
California,100000,2020-01-18,4.3
California,100000,2020-01-25,1.7
California,100000,2020-01-25,6.6000000000000005
California,100000,2020-01-25,4.9
California,100000,2020-02-01,1.7
California,100000,2020-02-01,5.9
California,100000,2020-02-01,4.2
