sewershed_id,population_served,sample_collect_date,synthetic_viral_load
752,1075656,2020-01-14,1169933.47766
752,1075656,2020-01-17,393.19517
752,1075656,2020-01-21,367.82206
752,1075656,2020-01-24,356.03289
752,1075656,2020-01-28,384.99554
752,1075656,2020-01-31,363.35274
752,1075656,2020-02-04,342.30819
752,1075656,2020-02-07,416.8087
752,1075656,2020-02-11,400.05752
752,1075656,2020-02-14,451.43718
752,1075656,2020-02-18,416.77351
752,1075656,2020-02-21,383.55268
752,1075656,2020-02-25,368.70185
752,1075656,2020-02-26,183017393.51865
752,1075656,2020-02-28,432.96162
752,1075656,2020-03-03,419.16653
752,1075656,2020-03-06,372.6433
752,1075656,2020-03-07,1050791.00973
752,1075656,2020-03-08,1042273.75932
752,1075656,2020-03-09,1013255.68526
752,1075656,2020-03-10,1037874.58041
752,1075656,2020-03-11,2042772.34051
752,1075656,2020-03-12,968787.7151
752,1075656,2020-03-13,1014840.28998
752,1075656,2020-03-14,1630258.84275
752,1075656,2020-03-15,4259425.30685
752,1075656,2020-03-16,6242035.11996
752,1075656,2020-03-17,11004795.64351
752,1075656,2020-03-18,25537483.72464
752,1075656,2020-03-22,71479929.68884
752,1075656,2020-03-24,27526035.17424
752,1075656,2020-03-25,43294404.6234
752,1075656,2020-03-26,23908448.33271
752,1075656,2020-03-29,261051.67865
752,1075656,2020-03-31,22762104.55846
752,1075656,2020-04-02,45765370.17561
752,1075656,2020-04-06,81748446.7265
752,1075656,2020-04-08,68000581.66604
752,1075656,2020-04-13,74737772.11347
752,1075656,2020-04-15,21606401.98684
752,1075656,2020-04-16,13779839.17791
752,1075656,2020-04-21,63172147.60589
752,1075656,2020-04-22,17227439.87393
752,1075656,2020-04-26,23945472.12065
752,1075656,2020-04-27,22631670.99076
752,1075656,2020-05-02,23437189.25092
752,1075656,2020-05-04,5053992.77529
752,1075656,2020-05-10,10986654.40206
752,1075656,2020-05-20,5117088.48185
752,1075656,2020-05-21,86793344.72405
752,1075656,2020-05-22,16514566.36069
752,1075656,2020-05-23,21027778.6017
752,1075656,2020-05-24,11234804.29097
752,1075656,2020-05-25,20228105.21686
752,1075656,2020-05-26,41482821.92944
752,1075656,2020-05-27,8766582.82103
752,1075656,2020-05-28,10779326.24404
752,1075656,2020-05-29,28892071.36612
752,1075656,2020-05-30,19328530.51839
752,1075656,2020-05-31,19361318.75324
752,1075656,2020-06-01,25437921.42641
752,1075656,2020-06-02,11229582.6668
752,1075656,2020-06-03,18864334.43728
752,1075656,2020-06-04,10608131.40914
752,1075656,2020-06-05,1419608.26767
752,1075656,2020-06-06,5083679.70897
752,1075656,2020-06-07,5742997.87885
752,1075656,2020-06-08,9745010.47448
752,1075656,2020-06-09,10737481.41724
752,1075656,2020-06-10,11441552.71043
752,1075656,2020-06-11,9553466.883
752,1075656,2020-06-12,9054537.69355
752,1075656,2020-06-13,2656853.02779
752,1075656,2020-06-14,3161251.00061
752,1075656,2020-06-15,10794818.98135
752,1075656,2020-06-16,5665060.56794
752,1075656,2020-06-17,5651957.88417
752,1075656,2020-06-18,2853358.37296
752,1075656,2020-06-19,3219974.40878
752,1075656,2020-06-20,2656347.69496
752,1075656,2020-06-21,4829815.75782
752,1075656,2020-06-22,4134268.99482
752,1075656,2020-06-23,1199984.41276
752,1075656,2020-06-24,3959404.81954
752,1075656,2020-06-25,2625311.79064
752,1075656,2020-06-26,6666375.99097
752,1075656,2020-06-27,892565.76045
752,1075656,2020-06-28,5373559.40073
752,1075656,2020-06-29,3627813.21282
752,1075656,2020-06-30,2986952.40193
752,1075656,2020-07-01,11323642.27296
752,1075656,2020-07-02,5857753.36614
752,1075656,2020-07-03,11855903.66405
752,1075656,2020-07-04,2720312.08613
752,1075656,2020-07-05,3967095.03701
752,1075656,2020-07-06,7383633.55507
752,1075656,2020-07-07,4362524.87288
752,1075656,2020-07-08,6831124.53048
752,1075656,2020-07-09,1921625.60574
752,1075656,2020-07-10,1254793.42218
752,1075656,2020-07-11,4862293.48936
752,1075656,2020-07-12,5881055.76437
752,1075656,2020-07-13,5262362.7681
752,1075656,2020-07-15,9847553.55625
752,1075656,2020-07-16,6082721.291
752,1075656,2020-07-17,8729522.38619
752,1075656,2020-07-18,4938139.91802
752,1075656,2020-07-19,6064430.21754
752,1075656,2020-07-20,2356873.89905
752,1075656,2020-07-21,12074167.7583
752,1075656,2020-07-22,7101928.35977
752,1075656,2020-07-23,7332394.86047
752,1075656,2020-07-24,3296992.82704
752,1075656,2020-07-25,3616312.22671
752,1075656,2020-07-26,3798526.72332
752,1075656,2020-07-28,8633910.40468
752,1075656,2020-07-30,5166134.68227
752,1075656,2020-08-02,25890066.60483
752,1075656,2020-08-03,18009884.35728
752,1075656,2020-08-04,10446813.38729
752,1075656,2020-08-05,7137699.33004
752,1075656,2020-08-06,3985625.63167
752,1075656,2020-08-09,8922266.51834
752,1075656,2020-08-11,7756191.74406
752,1075656,2020-08-13,3861317.66802
752,1075656,2020-08-16,5503884.754
752,1075656,2020-08-18,14276303.68387
752,1075656,2020-08-20,10892427.25772
